Label,Count
Wind,455
Vegetation,219
Turdus merula_Eurasian Blackbird,4658
Troglodytes troglodytes_Eurasian Wren,1159
Sylvia atricapilla_Eurasian Blackcap,3742
Regulus regulus_Goldcrest,1763
Regulus ignicapilla_Common Firecrest,2777
Phylloscopus collybita_Common Chiffchaff,2014
Periparus ater_Coal Tit,4577
Parus major_Great Tit,59
None,13374
Muscicapa striata_Spotted Flycatcher,366
Loxia curvirostra_Common Crossbill,280
Lophophanes cristatus_Crested Tit,490
Fringilla coelebs_Common Chaffinch,7901
Erithacus rubecula_European Robin,1554
Cuculus canorus_Common Cuckoo,17
Coccothraustes coccothraustes_Hawfinch,341
Certhia familiaris_Eurasian Treecreeper,630
Anthus trivialis_Tree Pipit,1251
Aeroplane,41
