model_id,config,micro_f1,weighted_f1,samples_f1,mean_f1
12,"{'num_conv_layers': 3, 'kernel_sizes': [2, 4, 4], 'channels': [16, 32, 64], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 128}",0.506678281068525,0.5357119305457467,0.4691466469114897,0.5038456195085871
16,"{'num_conv_layers': 4, 'kernel_sizes': [5, 5, 6, 6], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 64}",0.5085102122547056,0.5276110992849592,0.46721346174198325,0.5011115910938827
7,"{'num_conv_layers': 4, 'kernel_sizes': [3, 4, 4, 4], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 128}",0.4927729597509451,0.54143712559611,0.465261882083768,0.49982398914360765
6,"{'num_conv_layers': 4, 'kernel_sizes': [2, 4, 6, 6], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 64}",0.5059345649705852,0.5319284107048693,0.4502028433343916,0.49602193966994873
5,"{'num_conv_layers': 2, 'kernel_sizes': [2, 4], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 32}",0.4845118564409314,0.5265136721357517,0.4740204304814316,0.49501531968603824
9,"{'num_conv_layers': 4, 'kernel_sizes': [2, 3, 4, 6], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 64}",0.4980044575752865,0.5169134679449874,0.43346184277499755,0.48279325609842383
1,"{'num_conv_layers': 3, 'kernel_sizes': [2, 4, 4], 'channels': [16, 32, 64], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 64}",0.456649457005519,0.49804378617038997,0.4453618170731093,0.4666850200830061
14,"{'num_conv_layers': 2, 'kernel_sizes': [2, 5], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 128}",0.43955944341204733,0.48173045639651135,0.4197803748444028,0.4470234248843205
10,"{'num_conv_layers': 4, 'kernel_sizes': [2, 2, 4, 4], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 128}",0.44734750645738136,0.4819108723932794,0.403919285991463,0.44439255494737456
18,"{'num_conv_layers': 3, 'kernel_sizes': [2, 4, 6], 'channels': [16, 32, 64], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 32}",0.4333685516100877,0.4890789276317348,0.4070554203266659,0.4431676331894961
13,"{'num_conv_layers': 2, 'kernel_sizes': [2, 4], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 128}",0.43788952852181356,0.48250753265381235,0.4073784577859083,0.4425918396538447
11,"{'num_conv_layers': 1, 'kernel_sizes': [5], 'channels': [16], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 128}",0.4206284562952801,0.46747805227967215,0.4191637815037117,0.43575676335955466
0,"{'num_conv_layers': 2, 'kernel_sizes': [6, 6], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 32}",0.41471172962226643,0.44296076363285336,0.3784194850551078,0.4120306594367425
17,"{'num_conv_layers': 1, 'kernel_sizes': [2], 'channels': [16], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 32}",0.3911547065909482,0.43464239475173866,0.39215319669335963,0.40598343267868214
8,"{'num_conv_layers': 3, 'kernel_sizes': [2, 3, 4], 'channels': [16, 32, 64], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.40160088324592885,0.45415205330573183,0.3611022078426036,0.40561838146475476
15,"{'num_conv_layers': 2, 'kernel_sizes': [2, 4], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 64}",0.3791355160264673,0.4253275652939446,0.3956966975593285,0.40005325962658017
2,"{'num_conv_layers': 1, 'kernel_sizes': [4], 'channels': [16], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 32}",0.382929539897755,0.4274547918182054,0.3728580499826134,0.394414127232858
19,"{'num_conv_layers': 4, 'kernel_sizes': [3, 5, 5, 5], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 32}",0.3881153268802733,0.4245916815084652,0.33059583024658695,0.38110094621177515
4,"{'num_conv_layers': 1, 'kernel_sizes': [6], 'channels': [16], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 64}",0.3702349392083371,0.4160885886669712,0.35572849734665807,0.38068400840732214
3,"{'num_conv_layers': 1, 'kernel_sizes': [5], 'channels': [16], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 32}",0.3541290710664261,0.41869748344490415,0.3549496293384536,0.3759253946165946
