model_id,config,micro_f1,weighted_f1,samples_f1,mean_f1
18,"{'num_conv_layers': 4, 'kernel_sizes': [2, 6, 6, 6], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 128}",0.5191888562494078,0.5492608384662152,0.49635789123565605,0.5216025286504263
9,"{'num_conv_layers': 2, 'kernel_sizes': [2, 4], 'channels': [16, 32], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 32}",0.46830016695997473,0.48222689711450323,0.47502910360884754,0.47518538922777515
14,"{'num_conv_layers': 4, 'kernel_sizes': [3, 4, 4, 6], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 64}",0.46615839427415584,0.48943941717462447,0.4147211345115885,0.4567729819867896
16,"{'num_conv_layers': 2, 'kernel_sizes': [5, 5], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 128}",0.44873781099061333,0.47818644870015276,0.44235419217957056,0.45642615062344555
13,"{'num_conv_layers': 2, 'kernel_sizes': [2, 6], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 128}",0.4311067175069435,0.47060847495943,0.4096235933255723,0.43711292859731526
1,"{'num_conv_layers': 3, 'kernel_sizes': [2, 3, 3], 'channels': [16, 32, 64], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 64}",0.42717184380368667,0.4769332575230477,0.3899384666555795,0.43134785599410463
19,"{'num_conv_layers': 2, 'kernel_sizes': [3, 3], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 128}",0.42579314869487794,0.4613301705653032,0.4061593819451793,0.4310942337351202
8,"{'num_conv_layers': 4, 'kernel_sizes': [2, 2, 3, 6], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 32}",0.41944570649704677,0.47529816220939763,0.39411426757177626,0.42961937875940687
10,"{'num_conv_layers': 3, 'kernel_sizes': [6, 6, 6], 'channels': [16, 32, 64], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 32}",0.4262927087851188,0.4624076383485834,0.3820757046601051,0.42359201726460244
7,"{'num_conv_layers': 4, 'kernel_sizes': [3, 5, 6, 6], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 128}",0.4086302418809964,0.4668838189309055,0.3768456223636666,0.41745322772518945
5,"{'num_conv_layers': 2, 'kernel_sizes': [3, 5], 'channels': [16, 32], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 128}",0.4068914275099842,0.45363346098740825,0.38492609447207815,0.41515032765649024
0,"{'num_conv_layers': 2, 'kernel_sizes': [5, 6], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 32}",0.3888137884420413,0.4464538246331951,0.4034725266972066,0.4129133799241476
11,"{'num_conv_layers': 2, 'kernel_sizes': [5, 6], 'channels': [16, 32], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 64}",0.3937028251024369,0.44411766625215915,0.39934006622015933,0.4123868525249185
12,"{'num_conv_layers': 2, 'kernel_sizes': [2, 6], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 64}",0.3806754641019906,0.44659627821957937,0.3713318113783771,0.39953451789998234
6,"{'num_conv_layers': 1, 'kernel_sizes': [6], 'channels': [16], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 128}",0.3775852309835852,0.42129205656771757,0.3723077271971335,0.3903950049161455
2,"{'num_conv_layers': 3, 'kernel_sizes': [4, 6, 6], 'channels': [16, 32, 64], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 64}",0.38119021815954385,0.44027442348454093,0.3431413755045885,0.3882020057162244
17,"{'num_conv_layers': 1, 'kernel_sizes': [6], 'channels': [16], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 64}",0.37148468886706537,0.4221751212763169,0.36428395043063255,0.3859812535246716
15,"{'num_conv_layers': 1, 'kernel_sizes': [4], 'channels': [16], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 128}",0.35796145164090987,0.40533551178364147,0.36107927772654197,0.37479208038369777
3,"{'num_conv_layers': 4, 'kernel_sizes': [2, 2, 2, 6], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 32}",0.24668459612352778,0.2761852333099961,0.19443629711382912,0.239102042182451
4,"{'num_conv_layers': 3, 'kernel_sizes': [3, 3, 4], 'channels': [16, 32, 64], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.21109042190835187,0.24571746633176011,0.17954457261791368,0.2121174869526752
