model_id,config,micro_f1,weighted_f1,samples_f1,mean_f1
12,"{'num_conv_layers': 4, 'kernel_sizes': [2, 3, 3, 6], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 64}",0.4754338467001021,0.5200982861746166,0.46114932797121383,0.4855604869486441
17,"{'num_conv_layers': 4, 'kernel_sizes': [2, 2, 2, 6], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 32}",0.4813585048856845,0.5158038962986906,0.4586587645959008,0.48527372192675866
4,"{'num_conv_layers': 3, 'kernel_sizes': [2, 5, 6], 'channels': [16, 32, 64], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 64}",0.46791781719473957,0.5039470192894394,0.44010880466060903,0.470657880381596
6,"{'num_conv_layers': 3, 'kernel_sizes': [2, 3, 6], 'channels': [16, 32, 64], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 128}",0.4572327334967849,0.509015670895902,0.42805940663915043,0.4647692703439457
13,"{'num_conv_layers': 4, 'kernel_sizes': [4, 4, 5, 5], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 64}",0.4689877563359702,0.49929418203293624,0.42036799056589513,0.46288330964493385
11,"{'num_conv_layers': 4, 'kernel_sizes': [2, 4, 4, 5], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 128}",0.45187399402161416,0.5006621929335474,0.41827353864606487,0.45693657520040887
10,"{'num_conv_layers': 2, 'kernel_sizes': [4, 6], 'channels': [16, 32], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 64}",0.4483911998869365,0.49236050231656686,0.42139959380937264,0.45405043200429196
16,"{'num_conv_layers': 3, 'kernel_sizes': [2, 4, 5], 'channels': [16, 32, 64], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 128}",0.4275182273634476,0.4906661659459137,0.44273619279439996,0.4536401953679204
15,"{'num_conv_layers': 3, 'kernel_sizes': [2, 3, 5], 'channels': [16, 32, 64], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 64}",0.4401154401154402,0.4825022074826947,0.42690181374698255,0.4498398204483725
1,"{'num_conv_layers': 2, 'kernel_sizes': [5, 6], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 128}",0.4183166079016364,0.46530851822850494,0.4158923342858151,0.43317248680531883
5,"{'num_conv_layers': 1, 'kernel_sizes': [4], 'channels': [16], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 128}",0.4239842726081258,0.46324815157489707,0.4006944549435818,0.42930895970886823
14,"{'num_conv_layers': 2, 'kernel_sizes': [2, 6], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 64}",0.41450921959396536,0.4635078357767174,0.39909942599116055,0.42570549378728106
18,"{'num_conv_layers': 1, 'kernel_sizes': [4], 'channels': [16], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 128}",0.412065169528842,0.45997160990165975,0.4014123439618201,0.4244830411307739
0,"{'num_conv_layers': 2, 'kernel_sizes': [4, 5], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 64}",0.40820870238613804,0.44043560674227406,0.38455114927757533,0.4110651528019958
3,"{'num_conv_layers': 1, 'kernel_sizes': [3], 'channels': [16], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 128}",0.39285392041865924,0.43569137346109776,0.38431764846200234,0.40428764744725315
8,"{'num_conv_layers': 1, 'kernel_sizes': [2], 'channels': [16], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 64}",0.38915211407427464,0.4311513429860152,0.3831078118621774,0.4011370896408224
7,"{'num_conv_layers': 2, 'kernel_sizes': [2, 4], 'channels': [16, 32], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.36908426712638015,0.44965204482386945,0.35767243363285267,0.39213624852770074
9,"{'num_conv_layers': 1, 'kernel_sizes': [4], 'channels': [16], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.33863488291879046,0.42639362397762604,0.32340900653420496,0.3628125044768738
19,"{'num_conv_layers': 1, 'kernel_sizes': [6], 'channels': [16], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 64}",0.3261717980052825,0.4036824107489819,0.3447474915460945,0.3582005667667863
2,"{'num_conv_layers': 2, 'kernel_sizes': [4, 6], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 32}",0.3487169285856376,0.39199942150269496,0.30674901350105077,0.34915512119646114
