model_id,config,micro_f1,weighted_f1,samples_f1,mean_f1
4,"{'num_conv_layers': 4, 'kernel_sizes': [2, 3, 3, 5], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 128}",0.49226734195532246,0.5438237462809127,0.47627715706877527,0.5041227484350035
8,"{'num_conv_layers': 4, 'kernel_sizes': [3, 4, 5, 6], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 128}",0.47509541523745114,0.5127842086995493,0.4361620529257316,0.474680558954244
10,"{'num_conv_layers': 3, 'kernel_sizes': [2, 3, 4], 'channels': [16, 32, 64], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 128}",0.4712928735201909,0.5025057027151875,0.446636328359262,0.47347830153154674
19,"{'num_conv_layers': 3, 'kernel_sizes': [5, 6, 6], 'channels': [16, 32, 64], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 128}",0.4481323921275303,0.48661395245026845,0.4189135660614124,0.45121997021307036
6,"{'num_conv_layers': 2, 'kernel_sizes': [3, 5], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 32}",0.44156540385989995,0.48137900886071416,0.4009678524812401,0.4413040884006181
7,"{'num_conv_layers': 2, 'kernel_sizes': [2, 6], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 128}",0.4318299393312327,0.47537141549323086,0.4082044459227229,0.43846860024906215
17,"{'num_conv_layers': 4, 'kernel_sizes': [2, 3, 5, 5], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 64}",0.430858950281704,0.4821435944392773,0.3926159986695492,0.43520618113017684
9,"{'num_conv_layers': 4, 'kernel_sizes': [2, 3, 5, 6], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 128}",0.4502540996489758,0.47158703414675596,0.38156418668642184,0.4344684401607179
11,"{'num_conv_layers': 3, 'kernel_sizes': [3, 4, 4], 'channels': [16, 32, 64], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 128}",0.4336688014638609,0.4663627152325665,0.40199492009736476,0.43400881226459737
12,"{'num_conv_layers': 1, 'kernel_sizes': [3], 'channels': [16], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 64}",0.4010935030541199,0.44741916151657746,0.4016421490810315,0.416718271217243
3,"{'num_conv_layers': 1, 'kernel_sizes': [5], 'channels': [16], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 64}",0.4072305909617613,0.45203274774100405,0.38562911671177097,0.4149641518048454
14,"{'num_conv_layers': 2, 'kernel_sizes': [5, 6], 'channels': [16, 32], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 128}",0.39854726177960437,0.43680092305759505,0.3792923413412354,0.40488017539281157
5,"{'num_conv_layers': 1, 'kernel_sizes': [3], 'channels': [16], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 128}",0.37995467567452,0.43214311873603617,0.3869886290142402,0.39969547447493214
2,"{'num_conv_layers': 2, 'kernel_sizes': [3, 3], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 64}",0.37771726588821714,0.4337571546445312,0.3671076304370833,0.3928606836566105
0,"{'num_conv_layers': 2, 'kernel_sizes': [3, 5], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 32}",0.35599656988852135,0.42922906155128326,0.36301389077873364,0.3827465074061794
18,"{'num_conv_layers': 1, 'kernel_sizes': [3], 'channels': [16], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 32}",0.34407052640501823,0.40704919266384637,0.35894476109842816,0.37002149338909757
15,"{'num_conv_layers': 1, 'kernel_sizes': [3], 'channels': [16], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 64}",0.32013049479275585,0.39215466215643935,0.30950726288328145,0.3405974732774923
1,"{'num_conv_layers': 4, 'kernel_sizes': [3, 3, 4, 6], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 32}",0.3362270776433866,0.3738466794230684,0.274586879941944,0.328220212336133
13,"{'num_conv_layers': 4, 'kernel_sizes': [3, 4, 5, 6], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.3311515647371651,0.36959877298918525,0.26694485181097516,0.32256506317910855
16,"{'num_conv_layers': 3, 'kernel_sizes': [3, 5, 5], 'channels': [16, 32, 64], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 32}",0.28298147350280056,0.33777405450201925,0.24871616547984418,0.2898238978282213
